Title,citations
Family Practicesignificance,249.0
Journal of International Economic Lawsignificance,249.0
Journal of Victorian Culturesignificance,249.0
Neuro-Oncology Advancessignificance,249.0
Publius: The Journal of Federalismsignificance,249.0
Towards the development of computational thinking in students through games,249.0
Promoting computational thinking and creativeness in primary school children,249.0
International Relations of the Asia-Pacificsignificance,248.0
Military Medicinesignificance,248.0
"Social Politics: International Studies in Gender, State & Societysignificance",248.0
The Journal of Applied Laboratory Medicinesignificance,248.0
Journal of Radiation Researchsignificance,247.0
The ISME Journalsignificance,247.0
Teacher Education and Computational Thinking: Measuring Pre-service Teacher Conceptions and Attitudes,247.0
Developing a Self-efficacy Scale for Computational Thinking (CT-SES),247.0
