journal_name,count
Thinking Skills and Creativity,8
Computer Science Education,7
Interactive Learning Environments,7
2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),5
Computers & Education,5
Heliyon,3
2024 International Symposium on Computers in Education (SIIE),3
IEEE Access,2
2024 Black Issues in Computing Education (BICE),2
2024 5th International Conference on Computer Engineering and Application (ICCEA),2
Early Childhood Research Quarterly,2
Journal of Digital Learning in Teacher Education,2
2024 7th International Conference on Artificial Intelligence and Big Data (ICAIBD),1
"2024 International Conference on Computer, Information and Telecommunication Systems (CITS)",1
2024 9th International Conference on Big Data Analytics (ICBDA),1
2024 IEEE Congress on Evolutionary Computation (CEC),1
2024 IEEE 25th International Conference of Young Professionals in Electron Devices and Materials (EDM),1
2024 IEEE International Conference on Robotics and Automation (ICRA),1
2024 3rd International Conference on Sentiment Analysis and Deep Learning (ICSADL),1
"2024 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",1
IEEE Transactions on Education,1
2024 9th International Conference on Computer and Communication Systems (ICCCS),1
2024 4th International Conference on Technology Enhanced Learning in Higher Education (TELE),1
Data in Brief,1
International Journal of Child-Computer Interaction,1
Telematics and Informatics,1
Expert Systems with Applications,1
Computers and Education Open,1
The Journal of Mathematical Behavior,1
Computers in Human Behavior Reports,1
Theory & Research in Social Education,1
Computers in the Schools,1
Journal of Research on Technology in Education,1
"Technology, Pedagogy and Education",1
