Publisher,Cantidad
IEEE,970
Oxford Academic,550
Association for Computing Machinery,426
Elsevier Ltd,24
Elsevier B.V.,22
MIT Press,17
Consortium for Computing Sciences in Colleges,15
Semarak Ilmu Publishing,14
KeAi Communications Co.,8
OUP,6
Intelektual Pustaka Media Utama,5
John Wiley and Sons Inc,4
Common Ground Research Networks,3
Chinese Academy of Sciences,3
Elsevier Ireland Ltd,3
Wiley,2
Churchill Livingstone,2
Elsevier GmbH,2
IBM,2
IET,2
Elsevier Inc.,1
AME Publishing Company,1
National Information and Documentation Centre,1
Publishing House of Chinese Journal of Tissue Engineering Research,1
Sami Publishing Company,1
Malque Publishing,1
"Mahidol University, Institute for Population and Social Research",1
W.B. Saunders,1
Springer,1
American Society for Information Science,1
"Australian Computer Society, Inc.",1
Brazilian Computer Society,1
